解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,19,,,52,,,,,-8,8,,2,1,2,1,2,
職業補正(%),,,,,12,,-8,2,3,-8,,,,,,,,,
A-1,5,,,,5,,,2,,,,,,,,,,,
A-2,10,,,,10,,,,,,,,,,,,,,
A-3,15,,,,10,,,5,,,,,,,,,,,
A-4,20,イグナ2,,,,,,,,,,,,,,,,,
A-5,25,,,,10,,,10,,,,,,,,,,,
A-6,30,,,,,10,,10,,,,,,,,,,,
A-7,35,,,,10,,,,10,,,,,,,,,,
A-8,40,イグナム2,,,,,,,,,,,,,,,,,
A-9,45,,,,20,,,10,,,,,,,,,,,
A-10,50,グランドイグナム,,,,,,,,,,,,,,,,,
A-11,55,,,,10,20,,,,,,,,,,,,,
A-12,60,イグナイト2,,,,,,,,,,,,,,,,,
A-13,65,,,,30,,,10,,,,,,,,,,,
A-14,70,,,,,,,,30,,,,,,,,,,
A-15,75,,,,30,,,,,,,,,,,,,,
A-16,80,イグナイト3,,,,,,,,,,,,,,,,,
A-17,85,,10,,10,,,,,,,,,,,,,,
A-18,90,,10,,10,,,,,,,,,,,,,,
A-19,95,,10,,30,,,,20,,,,,,,,,,
A-20,100,グランドイグナム2,,,,,,,,,,,,,,,,,
A-21,110,,,,10,,,10,,,,,,,,,,,
A-22,120,,,,,,,10,,,,,,,,,,,
A-23,130,,,,20,,,,10,,,,,,,,,,
A-24,140,,,,20,,,10,,,,,,,,,,,
A-25,150,イグナイト・改,,,,,,,,,,,,,,,,,
B-1,5,,,,5,,,,3,,,,,,,,,,
B-2,10,,,,5,,,,4,,,,,,,,,,
B-3,15,,,,10,,,,5,,,,,,,,,,
B-4,20,ウィンド2,,,,,,,,,,,,,,,,,
B-5,25,,,,10,,,10,20,,,,,,,,,,
B-6,30,,10,,,10,,,10,,,,,,,,,,
B-7,35,,,,10,,,,10,,,,,,,,,,
B-8,40,ウィンドラ2,,,,,,,,,,,,,,,,,
B-9,45,,,,10,,,,10,,,,,,,,,,
B-10,50,グランドウィンドラ,,,,,,,,,,,,,,,,,
B-11,55,,,,10,20,,,,,,,,,,,,,
B-12,60,ウィンドバースト2,,,,,,,,,,,,,,,,,
B-13,65,,,,,20,,,,,,,,,,,,,
B-14,70,,,,30,,,,10,,,,,,,,,,
B-15,75,,,,10,10,,,20,,,,,,,,,,
B-16,80,ウィンドバースト3,,,,,,,,,,,,,,,,,
B-17,85,,10,,,10,,,10,,,,,,,,,,
B-18,90,,,,10,10,,,20,,,,,,,,,,
B-19,95,,10,,10,,,10,10,,,,,,,,,,
B-20,100,グランドウィンドラ2,,,,,,,,,,,,,,,,,
B-21,110,,,,,10,,,10,,,,,,,,,,
B-22,120,,,,10,10,,,20,,,,,,,,,,
B-23,130,,,,10,,,10,10,,,,,,,,,,
B-24,140,,,,,10,,,10,,,,,,,,,,
B-25,150,ウィンドバースト・改,,,,,,,,,,,,,,,,,
C-1,5,,,,,5,,,,,,5,,,,,,,4
C-2,10,,,,,5,,,,,,,,,,,,4,
C-3,15,,,,,5,,,,,,5,,,,,,,4
C-4,20,,,,,10,,,,,,,,,,,,4,
C-5,25,アディショナル・スピリット2,,,,,,,,,,,,,,,,,
C-6,30,,,,,10,,,,,,,,,,,,4,
C-7,35,,,,10,5,,,,,,5,,,,,,,4
C-8,40,,,,,10,,,,,,,,,,,,4,
C-9,45,,,,10,5,,,,,,5,,,,,,,
C-10,50,ノンエレメント・エクスプロード,,,,,,,,,,,,,,,,,
C-11,55,,10,,10,5,,,,,,1,,,,,,,
C-12,60,,,,10,5,,,,,,1,,,,,,,
C-13,65,,10,,10,5,,,,,,1,,,,,,,
C-14,70,,,,10,5,,,,,,1,,,,,,,
C-15,75,アディショナル・スピリット3,,,,,,,,,,,,,,,,,
C-16,80,,,,10,5,,,,,,1,,,,,,,
C-17,85,,10,,10,5,,,,,,1,,,,,,,
C-18,90,,,,10,5,,,,,,1,,,,,,,
C-19,95,,10,,20,15,,,,,,1,,,,,,,
C-20,100,ノンエレメント・エクスプロード2,,,,,,,,,,,,,,,,,
C-21,110,,,,10,5,,,,,,1,,,,,,,
C-22,120,,10,,10,5,,,,,,1,,,,,,,
C-23,130,,,,10,5,,,,,,1,,,,,,,
C-24,140,,10,,20,15,,,,,,1,,,,,,,
C-25,150,ノンエレメント・エクスプロード・烈,,,,,,,,,,,,,,,,,
