解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,25,,,22,,,,,,-2,3,2,,,,,
職業補正(%),,,,7,-6,,-6,3,5,-4,,,,,,,,,
A-1,3,,,5,,,,5,,,,,,,,,,,
A-2,7,,,6,,,,5,,,,,,,,,,,
A-3,13,,7,5,,,,5,,,,,,,,,,,
A-4,19,,10,10,,,,,,3,,,,,,,,,
A-5,24,烈刃の円斬撃3,,,,,,,,,,,,,,,,,
A-6,27,,10,15,,,,,5,,,,,,,,,,
A-7,30,,,15,,,,5,,,,,,,,,,,
A-8,38,,,5,,,,15,,3,,,,,,,,,
A-9,43,常闇斬撃2,,,,,,,,,,,,,,,,,
A-10,52,,,20,,,,5,,,,,,,,,,,
A-11,64,,,15,,,,5,,4,,,,,,,,,
A-12,75,,10,20,,,,,,4,,,,,,,,,
A-13,89,リミット・ブレイク2,,,,,,,,,,,,,,,,,
A-14,93,,20,10,,,,,,,,,,,,,,,
A-15,100,,,10,,5,,,,,,,,,,,,,
A-16,112,,,,,,5,15,,,,,,,,,,,
A-17,123,,,10,,5,,,,,,,,,,,,,
A-18,134,覇王の獄炎斬,,,,,,,,,,,,,,,,,
A-19,150,常闇斬撃4,,,,,,,,,,,,,,,,,
B-1,3,,,,,5,,,,,,,,,,,,,
B-2,7,,,,,3,,,,,,,,,,,,,
B-3,13,鎧崩し,,,,,,,,,,,,,,,,,
B-4,19,,,,15,,,,,,,,,,,,,,
B-5,22,,,,10,,,,,,,,,,,,,,
B-6,25,鎧崩し2,,,,,,,,,,,,,,,,,
B-7,30,,,,,10,,,,,,,,,,,,,
B-8,38,,,,10,,,,,,,,,,,,,,
B-9,44,,,,,,10,20,,,,,,,,,,,
B-10,50,刃崩し2,,,,,,,,,,,,,,,,,
B-11,64,,,,10,,,,,,,,,,,,,,
B-12,75,,,,,,15,,,,,,,,,,,,
B-13,89,魂魄停止,,,,,,,,,,,,,,,,,
B-14,93,,,,,20,,,,,,,,,,,,,
B-15,100,,,,20,,,,,,,,,,,,,,
B-16,112,刃崩し3,,,,,,,,,,,,,,,,,
B-17,123,,,,,20,,,20,,,,,,,,,,
B-18,142,,,,20,,,20,10,,,,,,,,,,
B-19,150,鎧崩し4,,,,,,,,,,,,,,,,,
C-1,3,,5,5,,,,5,,,,,,,,,,,
C-2,7,,,,,5,,5,,,,,,,,,,,
C-3,13,,5,5,,5,,,,,,,,,,,,,
C-4,19,,5,5,,,,,,5,,,,,,,,,
C-5,24,フックリターン,,,,,,,,,,,,,,,,,
C-6,27,,10,,,,,,10,,,,,,,,,,
C-7,30,,,,,10,,5,,,,,,,,,,,
C-8,38,,,5,,10,,5,,3,,,,,,,,,
C-9,45,烈刃の円斬撃6,,,,,,,,,,,,,,,,,
C-10,52,,10,20,,,,5,,,,,,,,,,,
C-11,64,,,5,,10,,,,3,,,,,,,,,
C-12,75,,10,10,,,,,,4,,,,,,,,,
C-13,89,,10,10,,,,,,4,,,,,,,,,
C-14,93,,,10,,,10,10,,,,,,,,,,,
C-15,100,アディショナル・スピリット8,,,,,,,,,,,,,,,,,
C-16,112,,,,,,5,15,,,,,,,,,,,
C-17,123,,,,,5,,,20,,,,,,,,,,
C-18,123,,,,,5,,10,,,,,,,,,,,
C-19,150,,,10,,,,10,,,,,,,,,,,
