解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,100,,,48,,,,,7,7,8,4,4,4,4,4,4
職業補正(%),,,,,,,-15,5,10,8,,,,,,,,,
A-1,3,,5,10,,,,,,,,,,,,,,,
A-2,7,烈刃の円斬撃4,,,,,,,,,,,,,,,,,
A-3,13,,20,,,,,,,3,,,,,,,,,
A-4,19,,20,,,,,10,,,,,,,,,,,
A-5,22,,20,10,,,,,,3,,,,,,,,,
A-6,25,鉄壁の心3,,,,,,,,,,,,,,,,,
A-7,30,,15,10,,,,,,3,,,,,,,,,
A-8,40,セルフヒール3,,,,,,,,,,,,,,,,,
A-9,44,,15,,,10,,,,3,,,,,,,,,
A-10,53,ナイトガード2,,,,,,,,,,,,,,,,,
A-11,64,,20,,,15,,,,,,,,,,,,,
A-12,75,,15,10,,,,,5,,,,,,,,,,
A-13,89,守護の鎧3,,,,,,,,,,,,,,,,,
A-14,93,,20,,,,,,,5,,,,,,,,,
A-15,100,,15,,,10,,,,6,,,,,,,,,
A-16,110,聖なる鉄槌4,,,,,,,,,,,,,,,,,
A-17,120,,25,,,10,,,,6,,,,,,,,,
A-18,130,烈刃の円斬撃・改,,,,,,,,,,,,,,,,,
A-19,140,,10,,,10,,,,6,,,,,,,,,
A-20,150,防衛の誓い2,,,,,,,,,,,,,,,,,
A-21,160,,20,,,10,,,15,,,,,,,,,,
A-22,170,,20,,,10,,,,15,,,,,,,,,
A-23,180,高孤なる守護,,,,,,,,,,,,,,,,,
B-1,3,,,,,15,,,,,,,,,,,,,
B-2,7,,,15,,,,,,3,,,,,,,,,
B-3,13,,,15,5,,,,,3,,,,,,,,,
B-4,19,,,,,,,15,,,,,,,,,,,
B-5,22,,10,10,,,,,,3,,,,,,,,,
B-6,24,疾風五月雨突き,,,,,,,,,,,,,,,,,
B-7,30,,5,10,,,,,,3,,,,,,,,,
B-8,38,,,5,,10,,10,,,,,,,,,,,
B-9,44,,,5,,,,,,5,,,,,,,,,
B-10,54,守護の鎧3,,,,,,,,,,,,,,,,,
B-11,64,,,10,,15,,,,,,,,,,,,,
B-12,75,,5,,,,,10,5,,,,,,,,,,
B-13,93,堅牢の槍撃,,,,,,,,,,,,,,,,,
B-14,97,,5,10,,,,,5,,,,,,,,,,
B-15,100,聖なる鉄槌,,,,,,,,,,,,,,,,,
B-16,110,,5,,,5,,,,5,,,,,,,,,
B-17,120,,5,10,,10,,,,15,,,,,,,,,
B-18,130,疾風五月雨突き2,,,,,,,,,,,,,,,,,
B-19,140,,,10,20,,,,,5,,,,,,,,,
B-20,150,堅牢の槍撃2,,,,,,,,,,,,,,,,,
B-21,160,,,10,,10,,,15,,,,,,,,,,
B-22,170,,,10,,10,,,,15,,,,,,,,,
B-23,180,竜巻の裁き,,,,,,,,,,,,,,,,,
C-1,5,,,,,,,,,10,,,,,,,,,
C-2,10,,10,,,,,,,,,,,,,,,,
C-3,15,,,,,,,,,15,,,,,,,,,
C-4,20,,15,,,,,,,,,,,,,,,,
C-5,25,,,,,,,,,15,,,,,,,,,
C-6,30,,15,,,,,,,,,,,,,,,,
C-7,35,,,,,,,,,20,,,,,,,,,
C-8,40,,17,,,,,,,,,,,,,,,,
C-9,45,,,,,,,,,20,,,,,,,,,
C-10,50,,17,,,,,,,,,,,,,,,,
C-11,55,,7,,,,,,,20,,,,,,,,,
C-12,60,,20,,,,,,,,,,,,,,,,
C-13,65,,,,,,,,,20,,,,,,,,,
C-14,70,,20,,,,,,,,,,,,,,,,
C-15,75,,,,,,,,,25,,,,,,,,,
C-16,80,,20,,,,,,,,,,,,,,,,
C-17,85,,,,,,,,,25,,,,,,,,,
C-18,90,,20,,,,,,,,,,,,,,,,
C-19,95,,20,,,,,,,25,,,,,,,,,
C-20,100,,50,,,,,,,40,,,,,,,,,
C-21,110,,,,,,,,,35,,,,,,,,,
C-22,120,,25,,,,,,,,,,,,,,,,
C-23,130,,20,,,,,,,35,,,,,,,,,
C-24,140,,25,,,,,,,,,,,,,,,,
C-25,150,,5,,,,,,,35,,,,,,,,10,10
C-26,160,,,,,10,,,20,,,,,,,,,,
C-27,170,,5,,,10,,,,15,,,,,,,,,
C-28,180,,,,,10,,,20,,,,,,,,,10,10
