解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,21,,,46,,,,,5,-5,,,,,,-3,5
職業補正(%),,,,,7,,-3,2,-8,-10,,,,,,,,,
A-1,5,,,,2,3,,,,,,,,,,,,,
A-2,10,ヒール2,,,,,,,,,,,,,,,,,
A-3,13,,5,,,4,,,,,,,,,,,,,
A-4,19,,,,6,,,,,,,,,,,,,,
A-5,22,,,,,,,,,,,,,,,,,10,10
A-6,25,エリアヒール3,,,,,,,,,,,,,,,,,
A-7,30,,,,,,,,,5,,,,,,,,,
A-8,38,,10,,,,,,,,4,4,,,,,,,
A-9,47,ヒール3,,,,,,,,,,,,,,,,,
A-10,52,,10,,,,,,,5,,,,,,,,,
A-11,60,エリアヒール4,,,,,,,,,,,,,,,,,
A-12,75,,10,,10,,,,,,,,,,,,,,
A-13,80,,15,,,,,,,,5,5,,,,,,,
A-14,93,,15,,,,,,,,,,,,,,,10,10
A-15,100,守りの加護,,,,,,,,,,,,,,,,,
A-16,110,,10,,5,15,,,,,,,,,,,,,
A-17,120,,,,20,,,,,,,,,,,,,,
A-18,130,,10,,5,15,,,,,,,,,,,,,
A-19,140,ヒール4,,,,,,,,,,,,,,,,,
A-20,150,エリアヒール・改,,,,,,,,,,,,,,,,,
B-1,3,,10,,,,,,,,,,,,,,,,
B-2,7,,,,,4,,,,,,,,,,,,,
B-3,13,守備の構え,,,,,,,,,,,,,,,,,
B-4,19,,,,6,8,,,,,,,,,,,,,
B-5,22,,,,8,8,,,,,,,,,,,,,
B-6,26,,10,,,,,,,5,,,,,,,,,
B-7,30,,10,,,,,,,5,,,,,,,,,
B-8,37,守備の構え2,,,,,,,,,,,,,,,,,
B-9,44,,,,,10,,,,,,,,,,,,,
B-10,52,,,,,20,,,,,,,,,,,,,
B-11,60,叡智のはごろも,,,,,,,,,,,,,,,,,
B-12,75,,,,,30,,,,,,,,,,,,,
B-13,83,ホーリディメンション,,,,,,,,,,,,,,,,,
B-14,93,,,,,40,,,,10,,,,,,,,,
B-15,100,かがやきの守り,,,,,,,,,,,,,,,,,
B-16,110,,,,10,10,,,,,,,,,,,,,
B-17,120,,,,10,10,,,,10,,,,,,,,,
B-18,130,叡哲なる魔力,,,,,,,,,,,,,,,,,
B-19,140,,,,10,10,,,,,,,,,,,,,
B-20,150,叡哲なる力,,,,,,,,,,,,,,,,,
C-1,10,,10,,,10,,,,,,,,,,,,,
C-2,20,,10,,,,,,5,,,,,,,,,,
C-3,30,,10,,,10,,,,,,,,,,,,,
C-4,40,,10,,,,,,5,,,,,,,,,,
C-5,50,,10,,,10,,,5,,,,,,,,,,
C-6,60,女神のささやき2,,,,,,,,,,,,,,,,,
C-7,70,,20,,,10,,,5,,,,,,,,,,
C-8,80,,20,,,10,,,5,,,,,,,,,,
C-9,90,,20,,,10,,,10,,,,,,,,,,
C-10,100,,,,,10,,,15,,,,,,,,,,
C-11,110,,20,,,10,,,5,,,,,,,,,,
C-12,120,,,,10,10,,,5,,,,,,,,,,
C-13,130,,20,,10,10,,,,,,,,,,,,,
C-14,140,,,,,10,,,15,,,,,,,,,,
C-15,150,女神のささやき4,,,,,,,,,,,,,,,,,
