解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,30,,,30,,,,,,,,5,5,5,5,5,5
職業補正(%),,,,4,4,,,-10,-25,,,,,,,,,,
A-1,5,,,,5,,,,3,,,,,,,,,,
A-2,10,,,5,,,,,3,,,,,,,,,,
A-3,15,,,,10,,,,5,,,,,,,,,,
A-4,20,,,10,,,,,10,,,,,,,,,,
A-5,25,,,,10,,,10,,,,,,,,,,,
A-6,30,,5,10,10,,,,,,,,,,,,,,
A-7,35,,,,10,,,,,,,,,,,,,,
A-8,40,,,10,,,,,,,,,,,,,,,
A-9,45,,,10,10,,,,,,,,,,,,,,
A-10,50,ウィンドバースト・改,,,,,,,,,,,,,,,,,
A-11,55,,,,10,20,,,,,,,,,,,,,
A-12,60,イグナイト・改,,,,,,,,,,,,,,,,,
A-13,65,,,,,20,,,,,,,,,,,,,
A-14,70,,,,30,,,,10,,,,,,,,,,
A-15,75,,,20,20,10,,,,,,,,,,,,,
A-16,80,ウィンドバースト3,,,,,,,,,,,,,,,,,
A-17,85,,5,,,10,,,,,,,,,,,,,
A-18,90,イグナイト3,,,,,,,,,,,,,,,,,
A-19,95,,,10,10,,,10,10,,,,,,,,,,
A-20,100,グランドウィンドラ2,,,,,,,,,,,,,,,,,
A-21,110,,,,,10,,,10,,,,,,,,,,
A-22,120,グランドイグナム2,,,,,,,,,,,,,,,,,
A-23,130,,,10,10,,,,10,,,,,,,,,,
A-24,140,,,,,10,,,10,,,,,,,,,,
A-25,150,ウィンドバースト・改2,,,,,,,,,,,,,,,,,
A-26,160,,,40,40,,,,,,,,,,,,,,
A-27,170,,,40,40,,,,,,,,,,,,,,
A-28,180,イグナイト・改2,,,,,,,,,,,,,,,,,
B-1,3,,,,5,,,,3,,,,,,,,,,
B-2,12,,,5,,,,,3,,,,,,,,,,
B-3,20,聖なる鉄槌,,,,,,,,,,,,,,,,,
B-4,23,,,10,,,,,10,,,,,,,,,,
B-5,27,,,,10,,,10,,,,,,,,,,,
B-6,30,,5,10,10,,,,,,,,,,,,,,
B-7,35,常闇斬撃3,,,,,,,,,,,,,,,,,
B-8,40,,5,,,,,,,,,,,,,,,,
B-9,47,,,5,,10,,,,,,,,,,,,,
B-10,50,,,5,,,,,,,,,,,,,,,
B-11,56,常闇斬撃4,,,,,,,,,,,,,,,,,
B-12,64,,,,,10,,,,,,,,,,,,,
B-13,75,水神の渦,,,,,,,,,,,,,,,,,
B-14,82,,,5,,10,,,,,,,,,,,,,
B-15,97,,5,,,,,,5,,,,,,,,,,
B-16,100,聖なる鉄槌2,,,,,,,,,,,,,,,,,
B-17,108,,10,,,5,,,,,,,,,,,,,
B-18,117,,5,,,10,,,,,,,,,,,,,
B-19,125,常闇斬撃5,,,,,,,,,,,,,,,,,
B-20,136,,,10,20,,,,,,,,,,,,,,
B-21,147,,,20,20,,,,,,,,,,,,,,
B-22,160,聖なる鉄槌3,,,,,,,,,,,,,,,,,
B-23,170,,,10,20,,,,,,,,,,,,,,
B-24,180,水神の渦2,,,,,,,,,,,,,,,,,
C-1,5,,5,,,,,,,,,,,,,,,,
C-2,10,,,,,10,,10,,,,,,,,,,,
C-3,15,,5,,,,,,10,,,,,,,,,,
C-4,20,ノーン・リファクト,,,,,,,,,,,,,,,,,
C-5,25,,,,,10,,,,,,,,,,,,,
C-6,30,,5,,,,,,10,,,,,,,,,,
C-7,35,,,,,10,,,,,,,,,,,,,
C-8,40,ファイア・リファクト,,,,,,,,,,,,,,,,,
C-9,45,,,10,10,,,,,,,,,,,,,,
C-10,50,,5,,,,,,10,,,,,,,,,,
C-11,55,,,,,20,,10,,,,,,,,,,,
C-12,60,ウォーター・リファクト,,,,,,,,,,,,,,,,,
C-13,65,,,,,20,,10,,,,,,,,,,,
C-14,70,,,,,,,,20,,,,,,,,,,
C-15,75,,5,,,10,,10,,,,,,,,,,,
C-16,80,ウィンド・リファクト,,,,,,,,,,,,,,,,,
C-17,85,,5,,,10,,10,,,,,,,,,,,
C-18,90,,5,,,10,,20,,,,,,,,,,,
C-19,95,,,,,,,,20,,,,,,,,,,
C-20,100,ライトニング・リファクト,,,,,,,,,,,,,,,,,
C-21,110,,,,,10,,,10,,,,,,,,,,
C-22,120,ダーク・リファクト,,,,,,,,,,,,,,,,,
C-23,130,,,10,10,,,,10,,,,,,,,,,
C-24,140,ライト・リファクト,,,,,,,,,,,,,,,,,
C-25,150,,,,,10,,,10,,,,,,,,,,
C-26,160,,5,,,10,,,10,,,,,,,,,,
C-27,170,,,40,40,,,,10,,,,,,,,,,
C-28,180,,5,,,10,,,10,,,,,,,,,,
