解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,58,,,32,,,,,6,5,3,,,,,5,5
職業補正(%),,,,-8,,,-6,2,,7,,,,,,,,,
A-1,3,,5,,,,,,,,,,,,,,,,
A-2,7,,5,,,,,,,3,,,,,,,,,
A-3,13,,5,,,,,,,3,,,,,,,,,
A-4,19,,5,,,,,10,,,,,,,,,,,
A-5,22,,5,,,,,,,3,,,,,,,,,
A-6,25,鉄壁の心3,,,,,,,,,,,,,,,,,
A-7,30,,5,,,,,,,3,,,,,,,,,
A-8,38,,15,,,,,,,3,,,,,,,,,
A-9,44,,10,,,,,,,5,,,,,,,,,
A-10,53,ナイトガード,,,,,,,,,,,,,,,,,
A-11,64,,20,,,10,,,,,,,,,,,,,
A-12,75,,10,,,,,,5,,,,,,,,,,
A-13,89,守護の鎧3,,,,,,,,,,,,,,,,,
A-14,93,,20,,,,,,,5,,,,,,,,,
A-15,100,,15,,,,,,,6,,,,,,,,,
A-16,110,,,,,10,,,,6,,,,,,,,,
A-17,120,,,,,10,,,,4,,,,,,,,,
A-18,130,,15,,,,,,,4,,,,,,,,,
A-19,140,,10,,,10,,,,6,,,,,,,,,
A-20,150,防衛の誓い,,,,,,,,,,,,,,,,,
B-1,3,,,,,5,,,,,,,,,,,,,
B-2,7,,,5,,,,,,3,,,,,,,,,
B-3,13,,,5,5,,,,,3,,,,,,,,,
B-4,19,,,,,,,5,,,,,,,,,,,
B-5,22,,10,5,,,,,,3,,,,,,,,,
B-6,24,烈刃の円斬撃2,,,,,,,,,,,,,,,,,
B-7,30,,5,,,,,,,3,,,,,,,,,
B-8,38,,,5,,10,,,,,,,,,,,,,
B-9,44,,,5,,,,,,5,,,,,,,,,
B-10,53,セルフヒール2,,,,,,,,,,,,,,,,,
B-11,64,,,,,10,,,,,,,,,,,,,
B-12,75,,10,,,,,,5,,,,,,,,,,
B-13,93,烈刃の円斬撃3,,,,,,,,,,,,,,,,,
B-14,97,,10,,,,,,5,,,,,,,,,,
B-15,100,聖なる鉄槌,,,,,,,,,,,,,,,,,
B-16,110,,10,,,5,,,,5,,,,,,,,,
B-17,120,,5,,,10,,,,5,,,,,,,,,
B-18,130,セルフヒール4,,,,,,,,,,,,,,,,,
B-19,140,,,10,20,,,,,5,,,,,,,,,
B-20,150,聖なる鉄槌2,,,,,,,,,,,,,,,,,
C-1,5,,,,,,,,,5,,,,,,,,,
C-2,10,,10,,,,,,,,,,,,,,,,
C-3,15,,,,,,,,,5,,,,,,,,,
C-4,20,,15,,,,,,,,,,,,,,,,
C-5,25,,,,,,,,,5,,,,,,,,,
C-6,30,,17,,,,,,,,,,,,,,,,
C-7,35,,,,,,,,,7,,,,,,,,,
C-8,40,,17,,,,,,,,,,,,,,,,
C-9,45,,,,,,,,,7,,,,,,,,,
C-10,50,,17,,,,,,,,,,,,,,,,
C-11,55,,,,,,,,,7,,,,,,,,,
C-12,60,,20,,,,,,,,,,,,,,,,
C-13,65,,,,,,,,,10,,,,,,,,,
C-14,70,,20,,,,,,,,,,,,,,,,
C-15,75,,,,,,,,,20,,,,,,,,,
C-16,80,,20,,,,,,,,,,,,,,,,
C-17,85,,,,,,,,,20,,,,,,,,,
C-18,90,,20,,,,,,,,,,,,,,,,
C-19,95,,,,,,,,,25,,,,,,,,,
C-20,100,,25,,,,,,,,,,,,,,,,
C-21,110,,,,,,,,,25,,,,,,,,,
C-22,120,,25,,,,,,,,,,,,,,,,
C-23,130,,,,,,,,,25,,,,,,,,,
C-24,140,,25,,,,,,,,,,,,,,,,
C-25,150,,,,,,,,,25,,,,,,,,,
