解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,10,,,10,,,,,,,,,,,,,
職業補正(%),,,,,,,,,,,,,,,,,,,
A-1,3,,,5,,,,,,,,,,,,,,,
A-2,7,,,,,,,3,,,,,,,,,,,
A-3,13,,,,,,,,5,,,,,,,,,,
A-4,19,,,,,,,,5,,,,,,,,,,
A-5,22,,5,,,,,,,,,,,,,,,,
A-6,25,応急手当,,,,,,,,,,,,,,,,,
A-7,30,,10,,,,,,,,,,,,,,,,
A-8,38,,,,5,,,,,,,,,,,,,,
A-9,44,,,5,,,,,,,,,,,,,,,
A-10,52,,,,,5,,,,,,,,,,,,,
A-11,64,,,,,,,10,,,,,,,,,,,
A-12,75,,,,,,15,,,,,,,,,,,,
A-13,89,戦闘態勢,,,,,,,,,,,,,,,,,
A-14,93,,,5,,,,,,,,,,,,,,,
A-15,100,,,,5,,,,,,,,,,,,,,
A-16,110,,15,,5,,,,,,,,,,,,,,
A-17,120,,10,,10,10,,,,,,,,,,,,,
A-18,130,,15,,,,,,5,,,,,,,,,,
A-19,140,,,,,,,,,5,,,,,,,,,
A-20,150,,15,,,,,10,10,,,,,,,,,,
A-21,160,,,5,,,,,,5,,,,,,,,,
A-22,180,,30,,,,,,,5,,,,,,,,5,5
B-1,3,,,5,,,,,,,,,,,,,,,
B-2,7,,,,,,,3,,,,,,,,,,,
B-3,13,,10,,,,,,,,,,,,,,,,
B-4,19,,,,,,,5,,,,,,,,,,,
B-5,22,,10,,,,,,,,,,,,,,,,
B-6,25,なぎはらい,,,,,,,,,,,,,,,,,
B-7,30,,10,,,,,,,,,,,,,,,,
B-8,38,,,10,,,,,,,,,,,,,,,
B-9,44,,,10,,,,,,,,,,,,,,,
B-10,52,,,,,,,5,,,,,,,,,,,
B-11,64,,,,,,,15,,,,,,,,,,,
B-12,75,,15,,,,,,,,,,,,,,,,
B-13,89,ぶんまわし,,,,,,,,,,,,,,,,,
B-14,93,,,5,,,,,,,,,,,,,,,
B-15,100,,20,,,,,,,,,,,,,,,,
B-16,110,,15,10,,,,,,,,,,,,,,,
B-17,120,,,,5,5,,10,,,,,,,,,,,
B-18,130,,10,5,,,,,5,,,,,,,,,,
B-19,140,,,5,5,,,,,,,,,,,,,,
B-20,150,,15,5,,,,,10,,,,,,,,,,
B-21,160,,,5,5,,,,,,,,,,,,,,
B-22,180,,10,,,,,,,,,,,,,,,5,5
C-1,3,,,,,5,,,,,,,,,,,,,
C-2,7,,,,,3,,,,,,,,,,,,,
C-3,13,,,,,,10,,,,,,,,,,,,
C-4,19,,,,5,,,,,,,,,,,,,,
C-5,22,,,,10,,,,,,,,,,,,,,
C-6,25,ファイア,,,,,,,,,,,,,,,,,
C-7,30,,,,,10,,,,,,,,,,,,,
C-8,38,,,,10,,,,,,,,,,,,,,
C-9,44,,,,,,10,,,,,,,,,,,,
C-10,52,,,,,5,,,,,,,,,,,,,
C-11,64,,,,10,,,,,,,,,,,,,,
C-12,75,,,,,,15,,,,,,,,,,,,
C-13,89,アイス,,,,,,,,,,,,,,,,,
C-14,93,,,,,20,,,,,,,,,,,,,
C-15,100,,,,5,,,,,,,,,,,,,,
C-16,110,,15,5,,,,,,,,,,,,,,,
C-17,120,,,,5,,,,,,,,,,,,,,
C-18,130,,5,5,,,,,5,,,,,,,,,,
C-19,140,,,,,,,,5,,,,,,,,,,
C-20,150,,5,10,,,,,10,,,,,,,,,,
C-21,160,,,5,10,,,,,,,,,,,,,,
C-22,180,,,5,5,5,,,,,,,,,,,,,
