解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,13,,,25,,,,,-5,-5,,,,2,1,3,
職業補正(%),,,,6,,,10,4,,-8,,,,,,,,,
A-1,3,,,5,,,,5,,,,,,,,,,,
A-2,7,,,6,,,,5,,,,,,,,,,,
A-3,13,,5,5,,,,5,,,,,,,,,,,
A-4,19,,5,10,,,,,,,,,,,,,,,
A-5,24,疾風連撃,,,,,,,,,,,,,,,,,
A-6,27,,5,15,,,,,,,,,,,,,,,
A-7,30,,,15,,,,5,,,,,,,,,,,
A-8,38,,,5,,,,15,,,,,,,,,,,
A-9,43,水流連撃,,,,,,,,,,,,,,,,,
A-10,52,,,10,,,10,5,,,,,,,,,,,
A-11,64,,,10,,,10,5,,,,,,,,,,,
A-12,75,,5,10,,,,,,,,,,,,,,,
A-13,80,水流連撃2,,,,,,,,,,,,,,,,,
A-14,93,,10,10,,10,,,,,,,,,,,,,
A-15,100,,5,5,,,10,,,,,,,,,,,,
A-16,110,,,5,,,10,5,,,,,,,,,,,
A-17,120,,,10,,,10,5,,,,,,,,,,,
A-18,130,,,5,,,,,,,,,,,,,,,
A-19,140,,,5,,,,20,,,,,,,,,,,
A-20,150,サンライトスラッシュ,,,,,,,,,,,,,,,,,
B-1,3,,5,,,,,,,,,,,,,,,,
B-2,7,,,4,,,,,,,,,,,,,,,
B-3,13,,,,,,10,,,,,,,,,,,,
B-4,22,,10,,,,,,10,,,,,,,,,,
B-5,30,,5,,,,10,,,,,,,,,,,,
B-6,38,,10,,,,,,10,,,,,,,,,,
B-7,44,,5,,,,10,,,,,,,,,,,,
B-8,50,疾風の舞,,,,,,,,,,,,,,,,,
B-9,64,,5,,,10,,,,,,,,,,,,,
B-10,75,,10,,,,10,,,,,,,,,,,,
B-11,93,,5,,,,10,,,,,,,,,,,,
B-12,100,疾風の舞2,,,,,,,,,,,,,,,,,
B-13,110,,10,10,,10,,,,,,,,,,,,,
B-14,120,,5,5,,,10,,,,,,,,,,,,
B-15,130,,5,5,,,10,,,,,,,,,,,,
B-16,140,,10,,,,,,10,,,,,,,,,,
B-17,150,疾風の舞3,,,,,,,,,,,,,,,,,
C-1,3,,,,,5,,,,,,,,,,,,,
C-2,7,,,,,3,,,,,,,,,,,,,
C-3,13,鎧崩し,,,,,,,,,,,,,,,,,
C-4,19,,,,,,10,,,,,,,,,,,,
C-5,22,,,,,,10,,,,,,,,,,,,
C-6,25,鎧崩し2,,,,,,,,,,,,,,,,,
C-7,30,,,,,10,10,,,,,,,,,,,,
C-8,38,,,,,,10,,,,,,,,,,,,
C-9,44,,,,,,10,10,,,,,,,,,,,
C-10,50,刃崩し2,,,,,,,,,,,,,,,,,
C-11,64,,,10,,,10,,,,,,,,,,,,
C-12,75,,,,,,15,,,,,,,,,,,,
C-13,89,魂魄停止,,,,,,,,,,,,,,,,,
C-14,93,,,,,10,,,,,,,,,,,,,
C-15,100,,,10,,,10,,,,,,,,,,,,
C-16,112,刃崩し3,,,,,,,,,,,,,,,,,
C-17,123,,,,,10,,,20,,,,,,,,,,
C-18,142,,,20,,,10,20,,,,,,,,,,,
C-19,150,鎧崩し4,,,,,,,,,,,,,,,,,
