解法段階,必要SP,解法スキル名,体力,力,魔力,精神,素早さ,器用さ,撃力,守備力,物理耐性,魔耐性,無耐性,炎耐性,水耐性,風耐性,雷耐性,闇耐性,光耐性
初期値,,,60,,,100,,,,,,,,,,,,,
職業補正(%),,,,-20,2,,,-10,-25,,,,,,,,,,
A-1,5,,,,2,3,,,,,,,,,,,,,
A-2,10,ヒール2,,,,,,,,,,,,,,,,,
A-3,13,,8,,,4,,,,,,,,,,,,,
A-4,19,,,,6,,,,,,,,,,,,,,
A-5,22,,,,,,,,,,,,,,,,,10,10
A-6,28,,8,,,,,,,,4,4,,,,,,,
A-7,30,,3,,,4,,,,5,,,,,,,,,
A-8,38,,8,,,,,,,,4,4,,,,,,,
A-9,47,ヒール3,,,,,,,,,,,,,,,,,
A-10,52,,8,,,,,,,5,,,,,,,,,
A-11,64,エリアヒール・改2,,,,,,,,,,,,,,,,,
A-12,75,,9,,10,,,,,,,,,,,,,,
A-13,80,,8,,,2,,,,,,,,,,,,,
A-14,87,,10,,,,,,,,,,,,,,,10,10
A-15,93,,,,,,,,,20,,,,,,,,10,10
A-16,110,,10,,5,15,,,,,,,,,,,,,
A-17,120,エリアヒール・改3,,,,,,,,,,,,,,,,,
A-18,130,,8,,5,15,,,,,,,,,,,,,
A-19,140,ヒール4,,,,,,,,,,,,,,,,,
A-20,150,エリアヒール・改4,,,,,,,,,,,,,,,,,
A-21,160,,6,,,20,,,,,,,,,,,,,
A-22,170,,6,,5,16,,,2,,,,,,,,,,
A-23,180,天使の守護,,,,,,,,,,,,,,,,,
B-1,3,,6,,,,,,,,,,,,,,,,
B-2,9,,,,,4,,,,,,,,,,,,,
B-3,17,,,,,,,,,15,,,,,,,,,
B-4,24,,,,6,8,,,,,,,,,,,,,
B-5,29,,,,8,8,,,,,,,,,,,,,
B-6,34,,5,,,,,,,5,,,,,,,,,
B-7,39,,10,,,,,,,5,,,,,,,,,
B-8,42,守備の構え2,,,,,,,,,,,,,,,,,
B-9,48,,,,,8,,,,,,,,,,,,,
B-10,52,,,,,10,,,,,,,,,,,,,
B-11,60,叡智のはごろも,,,,,,,,,,,,,,,,,
B-12,75,,,,,20,,,,,,,,,,,,,
B-13,83,ホーリディメンション,,,,,,,,,,,,,,,,,
B-14,93,,,,,24,,,,10,,,,,,,,,
B-15,100,かがやきの守り2,,,,,,,,,,,,,,,,,
B-16,110,,,,10,8,,,,,,,,,,,,,
B-17,120,,,,10,6,,,,10,,,,,,,,,
B-18,130,叡哲なる魔力3,,,,,,,,,,,,,,,,,
B-19,140,,,,10,28,,,,,,,,,,,,,
B-20,150,叡哲なる力3,,,,,,,,,,,,,,,,,
B-21,160,ホーリディメンション2,,,,,,,,,,,,,,,,,
B-22,170,,10,,,,,,,5,,,,,,,,,
B-23,180,リフレッシュオブザステートメント,,,,,,,,,,,,,,,,,
C-1,10,,6,,,10,,,,,,,,,,,,,
C-2,20,,6,,,,,,5,,,,,,,,,,
C-3,30,,10,,,10,,,,,,,,,,,,,
C-4,40,,10,,,10,,,,,,,,,,,,,
C-5,50,,6,,,10,,,5,,,,,,,,,,
C-6,60,,6,,,10,,,5,,,,,,,,,,
C-7,70,,12,,,10,,,5,,,,,,,,,,
C-8,80,ホーリーディメンション2,,,,,,,,,,,,,,,,,
C-9,90,,10,,,10,,,10,,,,,,,,,,
C-10,100,,,,,10,,,15,,,,,,,,,,
C-11,110,,8,,,10,,,5,,,,,,,,,,
C-12,120,,,,10,10,,,5,,,,,,,,,,
C-13,130,ホーリーディメンション3,,,,,,,,,,,,,,,,,
C-14,140,,,,,10,,,15,,,,,,,,,,
C-15,150,女神の神弓,,,,,,,,,,,,,,,,,
C-16,160,,,,,10,,,15,,,,,,,,,,
C-17,170,,,,,10,,,,15,,,,,,,,,
C-18,180,,,,,10,,,15,,,,,,,,,,
